,CPLX,AREA
New York,1.6040454743846793,2151.478680269665
San Francisco,1.2099825330751506,1202.8580878761716
Boston,1.9848772813178828,4502.616032889595
Toronto,1.576669520328905,3714.257699932692
Vancouver,1.2569287902580273,1113.27962921941
Mexico City,2.8885668698207296,4662.33400122152
Buenos Aires,3.0834764518882802,2982.6260318007767
Amsterdam,2.8582285248842867,4096.166013755527
Athens,1.9680763169414903,3503.4998788613266
Berlin,3.4290171109271697,1904.1895886426619
Hamburg,2.245053350404515,2561.455097243195
Istanbul,1.5088145092381544,3785.2544640022993
Lisbon,3.157374932772738,2896.3279394702427
Madrid,3.4253850934584715,3738.880193986652
Milan,4.266767247073195,2106.15421341793
Munich,2.929696440666116,2067.5947896610032
Rome,3.6172213761733882,2255.7387363057787
Vienna,4.42414007391881,3237.306075467169
Kiev,6.425135044050274,6186.803383321027
Minsk,8.325631622644428,6004.314374334908
Moscow,7.539812769766997,4956.350669467138
Saint Petersburg,11.292140248377683,4891.538094065382
Warsaw,3.6726225691791936,2824.9847145458375
Sydney,2.721489473596768,6794.6737123902
Melbourne,2.0860698608924375,10704.84123516292
Singapore,6.638695893395404,5866.1674278546225
Hong Kong,5.769230817656629,7598.511330719788
Seoul,3.398915246741408,2468.873960901167
Bangkok,2.756096922993605,4672.503161080945
Guangzhou,6.1806953809272995,22843.12569533915
Shanghai,3.993312635015156,33619.83588779255
Tokyo,1.8749625144814541,2050.894475027193
Beijing,4.737830833583115,13191.15901937364
Wuhan,4.351755081518289,24744.59308824148
Tianjin,4.8321946208111966,33791.63516130444
Changsha,4.357020007301028,14900.564291103583
