city,0
New York,1082179
Istanbul,578189
Berlin,495376
Toronto,410452
Hamburg,320313
Amsterdam,194209
San Francisco,160592
Vancouver,137212
Mexico City,126477
Madrid,123320
Boston,103049
Manchester,65398
Milan,61496
Lisbon,50063
Athens,42759
Buenos Aires,40311
Brussels,36831
Melbourne,455580
Sydney,291891
Vienna,247819
Tokyo,244536
Rome,198780
Munich,181423
Warsaw,180608
Moscow,150538
Seoul,129709
Bangkok,120893
Singapore,120565
Hong Kong,95061
Kiev,92994
Saint Petersburg,92226
Shanghai,91789
Minsk,51695
Guangzhou,42447
